raw,confidence,top_gap,internal_total,ood_total,correct_accept,wrong_internal_accept,rejected_internal,ood_false_accept,ood_true_reject,accepted_precision,internal_recall,f1,f0_5,ood_rejection,external_call_rate,objective
0.4,0.64,0.005,112,64,56,30,26,1,63,0.6436781609195402,0.5,0.5628140703517588,0.6086956521739131,0.984375,0.5056818181818181,0.6808763586956522
0.41,0.64,0.005,112,64,56,30,26,1,63,0.6436781609195402,0.5,0.5628140703517588,0.6086956521739131,0.984375,0.5056818181818181,0.6808763586956522
0.42,0.64,0.005,112,64,56,30,26,1,63,0.6436781609195402,0.5,0.5628140703517588,0.6086956521739131,0.984375,0.5056818181818181,0.6808763586956522
0.43,0.64,0.005,112,64,56,30,26,1,63,0.6436781609195402,0.5,0.5628140703517588,0.6086956521739131,0.984375,0.5056818181818181,0.6808763586956522
0.44,0.64,0.005,112,64,56,30,26,1,63,0.6436781609195402,0.5,0.5628140703517588,0.6086956521739131,0.984375,0.5056818181818181,0.6808763586956522
0.45,0.64,0.005,112,64,56,30,26,1,63,0.6436781609195402,0.5,0.5628140703517588,0.6086956521739131,0.984375,0.5056818181818181,0.6808763586956522
0.46,0.64,0.005,112,64,56,30,26,1,63,0.6436781609195402,0.5,0.5628140703517588,0.6086956521739131,0.984375,0.5056818181818181,0.6808763586956522
0.47,0.64,0.005,112,64,56,30,26,1,63,0.6436781609195402,0.5,0.5628140703517588,0.6086956521739131,0.984375,0.5056818181818181,0.6808763586956522
0.48,0.64,0.005,112,64,56,30,26,1,63,0.6436781609195402,0.5,0.5628140703517588,0.6086956521739131,0.984375,0.5056818181818181,0.6808763586956522
0.49,0.64,0.005,112,64,56,30,26,1,63,0.6436781609195402,0.5,0.5628140703517588,0.6086956521739131,0.984375,0.5056818181818181,0.6808763586956522
0.5,0.64,0.005,112,64,56,30,26,1,63,0.6436781609195402,0.5,0.5628140703517588,0.6086956521739131,0.984375,0.5056818181818181,0.6808763586956522
0.51,0.64,0.005,112,64,56,30,26,1,63,0.6436781609195402,0.5,0.5628140703517588,0.6086956521739131,0.984375,0.5056818181818181,0.6808763586956522
0.52,0.64,0.005,112,64,56,30,26,1,63,0.6436781609195402,0.5,0.5628140703517588,0.6086956521739131,0.984375,0.5056818181818181,0.6808763586956522
0.53,0.64,0.005,112,64,56,30,26,1,63,0.6436781609195402,0.5,0.5628140703517588,0.6086956521739131,0.984375,0.5056818181818181,0.6808763586956522
0.54,0.64,0.005,112,64,56,30,26,1,63,0.6436781609195402,0.5,0.5628140703517588,0.6086956521739131,0.984375,0.5056818181818181,0.6808763586956522
0.55,0.64,0.005,112,64,56,30,26,1,63,0.6436781609195402,0.5,0.5628140703517588,0.6086956521739131,0.984375,0.5056818181818181,0.6808763586956522
0.56,0.64,0.005,112,64,56,30,26,1,63,0.6436781609195402,0.5,0.5628140703517588,0.6086956521739131,0.984375,0.5056818181818181,0.6808763586956522
0.57,0.64,0.005,112,64,56,30,26,1,63,0.6436781609195402,0.5,0.5628140703517588,0.6086956521739131,0.984375,0.5056818181818181,0.6808763586956522
0.58,0.64,0.005,112,64,56,30,26,1,63,0.6436781609195402,0.5,0.5628140703517588,0.6086956521739131,0.984375,0.5056818181818181,0.6808763586956522
0.59,0.64,0.005,112,64,56,30,26,1,63,0.6436781609195402,0.5,0.5628140703517588,0.6086956521739131,0.984375,0.5056818181818181,0.6808763586956522
